Nepal_Main event 2016/ 4/15 Mag:7.00 FFM inverted from static-GPS/Strong-ground-motion/InSAR/Surf_offset
GF built reference to local 1-D model
Initial time at 16:25:5
Hypocenter at  32.76 N, 130.76 E, 12 km
Node locate at the center of each subfault

< Subevent sequence >
time   time-dur   lat     lon      depth   strike    dip      rake    Mo(Nm)      slip(m)    x    y       xinc   yinc  segnum subnum parnum
 11.968   8.00  32.947  130.981   15.830  233.021   68.214    0.000  0.000e+00    0.000 -29.639  -4.083  2.23  2.06     1     20    305 
 12.105   8.00  32.951  130.974   17.745  234.352   68.390  155.000  8.610e+16    0.484 -29.636  -6.123  2.22  2.06     1     21    321 
 12.295   8.00  32.956  130.968   19.660  235.695   68.584  155.000  3.004e+17    1.697 -29.634  -8.163  2.21  2.06     1     22    337 
 12.536   8.00  32.960  130.961   21.576  237.047   68.797  155.000  3.535e+17    1.890 -29.633 -10.202  2.21  2.05     1     23    353 
 12.825   8.00  32.965  130.955   23.491  237.047   68.797  155.000  1.212e+17    0.649 -29.634 -12.241  2.20  2.05     1     24    369 
 11.884   8.00  32.902  131.007    1.050  228.200   70.352  155.000  2.271e+17    1.682 -27.296  11.733  2.27  2.38     1     25    385 
 11.531   8.00  32.907  131.000    3.294  229.100   69.512  -134.009  1.180e+18    7.074 -27.302   9.256  2.26  2.51     1     26    401 
 11.248   8.00  32.912  130.993    5.756  230.076   70.521  -150.003  1.457e+17    0.851 -27.316   6.676  2.25  2.59     1     27    417 
 11.064   8.00  32.917  130.986    8.170  231.029   72.445  155.000  5.850e+16    0.390 -27.335   4.223  2.25  2.27     1     28    433 
 10.974   8.00  32.921  130.980   10.085  231.787   70.328  155.000  6.589e+16    0.446 -27.358   2.050  2.24  2.03     1     29    449 
 10.954   8.00  32.925  130.974   12.000  232.552   68.432  155.000  6.875e+16    0.459 -27.386   0.000  2.24  2.06     1     30    465 
 10.989   8.00  32.930  130.968   13.915  233.213   67.099  155.000  2.591e+16    0.172 -27.397  -2.042  2.24  2.08     1     31    481 
 11.081   8.00  32.935  130.962   15.830  233.796   67.197    0.000  0.000e+00    0.000 -27.400  -4.080  2.23  2.08     1     32    497 
 11.230   8.00  32.940  130.955   17.745  234.385   67.304  155.000  6.914e+16    0.386 -27.401  -6.119  2.22  2.08     1     33    513 
 11.437   8.00  32.944  130.948   19.660  234.976   67.419  155.000  1.997e+17    1.117 -27.403  -8.157  2.22  2.07     1     34    529 
 11.696   8.00  32.949  130.942   21.576  235.567   67.540  155.000  2.300e+17    1.214 -27.406 -10.195  2.21  2.07     1     35    545 
 12.006   8.00  32.954  130.935   23.491  235.567   67.540  155.000  6.662e+16    0.352 -27.410 -12.233  2.21  2.07     1     36    561 
 11.062   8.00  32.888  130.989    1.050  224.466   69.162  -115.000  1.411e+17    1.027 -25.039  11.743  2.29  2.40     1     37    577 
 10.683   8.00  32.893  130.982    3.294  226.266   68.346  -115.000  1.409e+18    8.316 -25.050   9.263  2.28  2.53     1     38    593 
 10.377   8.00  32.899  130.975    5.756  228.247   69.458  -116.843  1.473e+18    8.504 -25.068   6.680  2.26  2.60     1     39    609 
 10.177   8.00  32.904  130.967    8.170  230.199   71.499  155.000  4.520e+17    2.990 -25.090   4.225  2.25  2.28     1     40    625 
 10.080   8.00  32.909  130.961   10.085  231.757   69.333  155.000  1.738e+17    1.168 -25.116   2.051  2.25  2.05     1     41    641 
 10.058   8.00  32.913  130.955   12.000  233.327   67.969  155.000  1.054e+17    0.703 -25.145   0.000  2.24  2.07     1     42    657 
 10.097   8.00  32.918  130.949   13.915  234.092   66.960  155.000  6.341e+16    0.421 -25.160  -2.040  2.23  2.08     1     43    673 
 10.198   8.00  32.923  130.942   15.830  234.248   66.978  155.000  2.563e+15    0.014 -25.166  -4.075  2.23  2.08     1     44    689 
 10.361   8.00  32.928  130.936   17.745  234.405   66.997  155.000  1.661e+16    0.092 -25.171  -6.110  2.22  2.08     1     45    705 
 10.584   8.00  32.933  130.929   19.660  234.562   67.016  155.000  6.789e+16    0.378 -25.175  -8.145  2.22  2.08     1     46    721 
 10.864   8.00  32.938  130.922   21.576  234.719   67.035  155.000  8.878e+16    0.466 -25.180 -10.180  2.22  2.08     1     47    737 
 11.196   8.00  32.943  130.915   23.491  234.719   67.035  155.000  3.022e+16    0.158 -25.185 -12.215  2.22  2.08     1     48    753 
 10.251   8.00  32.872  130.973    1.050  224.332   66.884  -135.753  2.222e+17    1.591 -22.778  11.747  2.29  2.44     1     49    769 
  9.842   8.00  32.878  130.965    3.294  226.140   66.037  -118.205  1.086e+18    6.302 -22.795   9.265  2.28  2.57     1     50    785 
  9.510   8.00  32.885  130.957    5.756  228.165   67.307  -115.000  1.977e+18   11.241 -22.818   6.682  2.26  2.64     1     51    801 
  9.293   8.00  32.891  130.949    8.170  230.182   69.589  155.000  1.057e+18    6.911 -22.845   4.226  2.25  2.31     1     52    817 
  9.186   8.00  32.896  130.942   10.085  231.797   67.327  155.000  9.873e+17    6.541 -22.874   2.050  2.24  2.08     1     53    833 
  9.163   8.00  32.901  130.936   12.000  233.419   67.076  155.000  6.289e+17    4.171 -22.906   0.000  2.24  2.08     1     54    849 
  9.206   8.00  32.906  130.929   13.915  234.179   66.850  155.000  2.705e+17    1.797 -22.925  -2.036  2.23  2.08     1     55    865 
  9.317   8.00  32.911  130.923   15.830  234.294   66.859  155.000  1.201e+16    0.067 -22.935  -4.068  2.23  2.08     1     56    881 
  9.495   8.00  32.916  130.916   17.745  234.410   66.869    0.000  0.000e+00    0.000 -22.942  -6.099  2.22  2.08     1     57    897 
  9.738   8.00  32.921  130.909   19.660  234.527   66.879    0.000  0.000e+00    0.000 -22.948  -8.130  2.22  2.08     1     58    913 
 10.041   8.00  32.926  130.903   21.576  234.643   66.888    0.000  0.000e+00    0.000 -22.954 -10.161  2.22  2.08     1     59    929 
 10.398   8.00  32.931  130.896   23.491  234.643   66.888    0.000  0.000e+00    0.000 -22.959 -12.191  2.22  2.08     1     60    945 
  9.458   8.00  32.858  130.955    1.050  230.061   65.623  -128.471  3.027e+17    2.183 -20.528  11.735  2.25  2.46     1     61    961 
  9.015   8.00  32.865  130.947    3.294  230.911   64.718  -179.029  1.649e+18    9.599 -20.549   9.256  2.25  2.60     1     62    977 
  8.653   8.00  32.872  130.939    5.756  231.869   66.018  -122.224  1.104e+18    6.287 -20.575   6.675  2.24  2.67     1     63    993 
  8.413   8.00  32.878  130.930    8.170  232.829   68.395  162.379  1.087e+18    7.105 -20.606   4.221  2.23  2.33     1     64   1009 
  8.295   8.00  32.884  130.923   10.085  233.600   65.997  164.911  8.646e+17    5.701 -20.637   2.047  2.23  2.10     1     65   1025 
  8.269   8.00  32.889  130.917   12.000  234.375   66.417  155.000  5.441e+17    3.601 -20.671   0.000  2.23  2.09     1     66   1041 
  8.317   8.00  32.894  130.910   13.915  234.639   66.709  155.000  1.164e+17    0.773 -20.693  -2.032  2.23  2.09     1     67   1057 
  8.439   8.00  32.900  130.903   15.830  234.530   66.730    0.000  0.000e+00    0.000 -20.705  -4.058  2.22  2.08     1     68   1073 
  8.636   8.00  32.905  130.897   17.745  234.423   66.752    0.000  0.000e+00    0.000 -20.714  -6.084  2.22  2.08     1     69   1089 
  8.901   8.00  32.910  130.890   19.660  234.310   66.775    0.000  0.000e+00    0.000 -20.722  -8.110  2.22  2.08     1     70   1105 
  9.229   8.00  32.915  130.883   21.576  234.186   66.798    0.000  0.000e+00    0.000 -20.728 -10.136  2.22  2.08     1     71   1121 
  9.615   8.00  32.920  130.876   23.491  234.186   66.798    0.000  0.000e+00    0.000 -20.733 -12.161  2.23  2.08     1     72   1137 
  8.690   8.00  32.846  130.936    1.050  235.257   65.719  -125.706  2.642e+17    1.926 -18.299  11.709  2.23  2.46     1     73   1153 
  8.208   8.00  32.853  130.928    3.294  235.645   64.750  158.981  9.931e+17    5.841 -18.323   9.236  2.22  2.60     1     74   1169 
  7.809   8.00  32.860  130.919    5.756  236.075   65.963  -140.836  1.121e+18    6.440 -18.351   6.661  2.22  2.67     1     75   1185 
  7.544   8.00  32.867  130.911    8.170  236.505   68.272  168.616  6.610e+17    4.359 -18.383   4.212  2.21  2.33     1     76   1201 
  7.411   8.00  32.872  130.904   10.085  236.855   65.765  -169.590  3.688e+17    2.450 -18.414   2.042  2.21  2.10     1     77   1217 
  7.380   8.00  32.878  130.897   12.000  237.214   66.469  160.154  1.148e+17    0.766 -18.449   0.000  2.21  2.09     1     78   1233 
  7.433   8.00  32.883  130.890   13.915  236.692   66.993  -115.000  1.408e+17    0.943 -18.471  -2.026  2.21  2.08     1     79   1249 
  7.568   8.00  32.888  130.884   15.830  235.527   67.003  -115.000  6.591e+16    0.367 -18.483  -4.045  2.22  2.08     1     80   1265 
  7.785   8.00  32.893  130.877   17.745  234.367   67.028    0.000  0.000e+00    0.000 -18.493  -6.065  2.22  2.08     1     81   1281 
  8.076   8.00  32.898  130.871   19.660  233.200   67.065    0.000  0.000e+00    0.000 -18.500  -8.084  2.23  2.08     1     82   1297 
  8.433   8.00  32.903  130.864   21.576  232.013   67.121    0.000  0.000e+00    0.000 -18.505 -10.104  2.23  2.08     1     83   1313 
  8.850   8.00  32.908  130.857   23.491  232.013   67.121  155.000  6.516e+15    0.034 -18.509 -12.123  2.24  2.08     1     84   1329 
  7.951   8.00  32.835  130.916    1.050  237.620   65.599  -115.000  2.148e+17    1.573 -16.087  11.676  2.22  2.46     1     85   1345 
  7.424   8.00  32.842  130.908    3.294  238.047   64.667  156.437  5.719e+17    3.379 -16.114   9.210  2.21  2.60     1     86   1361 
  6.983   8.00  32.849  130.899    5.756  238.531   65.921  -123.944  1.622e+18    9.372 -16.144   6.643  2.20  2.67     1     87   1377 
  6.685   8.00  32.856  130.891    8.170  239.009   68.260  155.000  2.205e+16    0.146 -16.177   4.200  2.20  2.33     1     88   1393 
  6.534   8.00  32.862  130.884   10.085  239.382   65.782  -142.032  1.129e+17    0.755 -16.209   2.036  2.20  2.10     1     89   1409 
  6.497   8.00  32.868  130.877   12.000  239.739   67.722  155.000  7.412e+16    0.503 -16.244   0.000  2.20  2.07     1     90   1425 
  6.555   8.00  32.872  130.870   13.915  238.452   69.102  -126.484  8.931e+15    0.061 -16.264  -2.018  2.20  2.05     1     91   1441 
  6.706   8.00  32.877  130.864   15.830  235.961   68.949  -115.000  1.946e+16    0.110 -16.273  -4.030  2.21  2.05     1     92   1457 
  6.946   8.00  32.881  130.858   17.745  233.492   68.831  -115.000  1.096e+17    0.616 -16.279  -6.042  2.23  2.05     1     93   1473 
  7.266   8.00  32.886  130.852   19.660  231.045   68.746  -115.000  1.472e+16    0.082 -16.282  -8.054  2.24  2.05     1     94   1489 
  7.657   8.00  32.890  130.846   21.576  228.625   68.710  -115.000  4.976e+16    0.260 -16.283 -10.066  2.25  2.06     1     95   1505 
  8.109   8.00  32.894  130.839   23.491  228.625   68.710  155.000  1.555e+15    0.008 -16.282 -12.078  2.27  2.06     1     96   1521 
  7.244   8.00  32.825  130.895    1.050  237.988   65.499  -115.000  1.781e+17    1.305 -13.880  11.634  2.22  2.47     1     97   1537 
  6.666   8.00  32.832  130.888    3.294  237.454   64.595  -139.059  6.596e+17    3.894 -13.909   9.178  2.21  2.60     1     98   1553 
  6.173   8.00  32.839  130.879    5.756  236.874   65.911  -118.032  1.441e+18    8.312 -13.941   6.620  2.21  2.67     1     99   1569 
  5.835   8.00  32.846  130.870    8.170  236.291   68.324  155.000  3.700e+17    2.449 -13.974   4.186  2.21  2.33     1    100   1585 
  5.661   8.00  32.852  130.863   10.085  235.804   65.928  155.000  3.875e+17    2.585 -14.007   2.029  2.21  2.10     1    101   1601 
  5.617   8.00  32.858  130.856   12.000  235.282   69.599  155.000  1.971e+17    1.350 -14.042   0.000  2.21  2.04     1    102   1617 
  5.681   8.00  32.862  130.850   13.915  234.009   72.255    0.000  0.000e+00    0.000 -14.058  -2.013  2.21  2.01     1    103   1633 
  5.850   8.00  32.866  130.845   15.830  232.190   71.944  -115.000  7.589e+16    0.435 -14.062  -4.019  2.23  2.01     1    104   1649 
  6.120   8.00  32.869  130.839   17.745  230.381   71.675    0.000  0.000e+00    0.000 -14.062  -6.025  2.24  2.02     1    105   1665 
  6.477   8.00  32.873  130.834   19.660  228.590   71.449    0.000  0.000e+00    0.000 -14.060  -8.031  2.25  2.02     1    106   1681 
  6.908   8.00  32.876  130.828   21.576  226.827   71.275  -115.000  1.623e+16    0.086 -14.055 -10.036  2.26  2.02     1    107   1697 
  7.401   8.00  32.879  130.822   23.491  226.827   71.275  -115.000  3.058e+15    0.016 -14.048 -12.042  2.26  2.02     1    108   1713 
  6.571   8.00  32.814  130.875    1.050  235.845   66.418  -132.121  1.599e+17    1.173 -11.652  11.580  2.23  2.45     1    109   1729 
  5.932   8.00  32.821  130.868    3.294  233.739   65.360  178.479  1.105e+18    6.500 -11.680   9.137  2.23  2.59     1    110   1745 
  5.375   8.00  32.828  130.860    5.756  231.428   66.500  -119.411  1.096e+18    6.261 -11.710   6.593  2.24  2.66     1    111   1761 
  4.984   8.00  32.834  130.851    8.170  229.162   68.789  158.288  3.677e+17    2.394 -11.742   4.169  2.25  2.32     1    112   1777 
  4.778   8.00  32.840  130.845   10.085  227.364   66.337  -165.516  4.584e+17    2.996 -11.772   2.022  2.26  2.09     1    113   1793 
  4.722   8.00  32.845  130.838   12.000  225.571   69.908  157.972  1.804e+17    1.204 -11.804   0.000  2.27  2.04     1    114   1809 
  4.795   8.00  32.849  130.832   13.915  224.752   72.611  155.000  1.873e+16    0.127 -11.817  -2.010  2.27  2.01     1    115   1825 
  4.993   8.00  32.852  130.827   15.830  224.646   72.533  -115.000  5.963e+16    0.336 -11.818  -4.015  2.27  2.01     1    116   1841 
  5.304   8.00  32.856  130.821   17.745  224.528   72.453    0.000  0.000e+00    0.000 -11.815  -6.020  2.27  2.01     1    117   1857 
  5.711   8.00  32.859  130.816   19.660  224.402   72.373    0.000  0.000e+00    0.000 -11.810  -8.024  2.27  2.01     1    118   1873 
  6.195   8.00  32.862  130.810   21.576  224.272   72.292  -115.000  4.673e+16    0.249 -11.804 -10.027  2.26  2.01     1    119   1889 
  6.739   8.00  32.865  130.805   23.491  224.272   72.292  -147.903  1.396e+16    0.075 -11.796 -12.029  2.25  2.01     1    120   1905 
  5.942   8.00  32.803  130.856    1.050  231.855   68.467  -156.721  2.047e+17    1.510  -9.384  11.515  2.25  2.41     1    121   1921 
  5.232   8.00  32.808  130.849    3.294  229.147   67.406  -158.434  2.019e+17    1.191  -9.406   9.088  2.26  2.55     1    122   1937 
  4.595   8.00  32.814  130.841    5.756  226.196   68.430  175.725  7.602e+17    4.327  -9.429   6.560  2.28  2.62     1    123   1953 
  4.130   8.00  32.820  130.834    8.170  223.336   70.552  -171.146  5.812e+17    3.748  -9.454   4.149  2.30  2.30     1    124   1969 
  3.876   8.00  32.825  130.828   10.085  221.095   68.259  -129.812  6.488e+17    4.196  -9.478   2.013  2.31  2.06     1    125   1985 
  3.801   8.00  32.829  130.822   12.000  218.886   70.203  -119.311  3.991e+17    2.593  -9.503   0.000  2.33  2.04     1    126   2001 
  3.889   8.00  32.833  130.816   13.915  218.162   71.682  -115.000  2.431e+17    1.592  -9.514  -2.008  2.34  2.02     1    127   2017 
  4.131   8.00  32.837  130.811   15.830  218.526   71.698  -115.000  1.631e+17    0.893  -9.515  -4.012  2.33  2.02     1    128   2033 
  4.503   8.00  32.840  130.805   17.745  218.888   71.715  -173.003  5.135e+16    0.282  -9.514  -6.016  2.32  2.02     1    129   2049 
  4.976   8.00  32.844  130.800   19.660  219.246   71.733  -154.527  2.580e+16    0.142  -9.512  -8.019  2.31  2.02     1    130   2065 
  5.525   8.00  32.847  130.794   21.576  219.600   71.750  -179.067  1.155e+16    0.060  -9.508 -10.021  2.30  2.02     1    131   2081 
  6.130   8.00  32.850  130.789   23.491  219.600   71.750  -167.176  3.987e+16    0.208  -9.504 -12.022  2.30  2.02     1    132   2097 
  5.387   8.00  32.789  130.838    1.050  226.978   70.664  176.553  2.579e+17    1.903  -7.081  11.456  2.28  2.38     1    133   2113 
  4.597   8.00  32.794  130.831    3.294  224.670   69.733  -130.840  8.049e+17    4.761  -7.095   9.042  2.29  2.51     1    134   2129 
  3.861   8.00  32.799  130.824    5.756  222.152   70.704  155.000  7.655e+17    4.368  -7.110   6.528  2.31  2.58     1    135   2145 
  3.294   8.00  32.804  130.818    8.170  219.709   72.652  -140.862  4.095e+17    2.642  -7.126   4.130  2.33  2.27     1    136   2161 
  2.967   8.00  32.808  130.812   10.085  217.793   70.589  -115.350  6.639e+17    4.312  -7.141   2.004  2.34  2.03     1    137   2177 
  2.863   8.00  32.812  130.807   12.000  215.904   70.968  -115.000  4.605e+17    2.976  -7.158   0.000  2.36  2.03     1    138   2193 
  2.977   8.00  32.816  130.801   13.915  215.283   71.241  -115.000  1.755e+17    1.135  -7.167  -2.003  2.36  2.02     1    139   2209 
  3.285   8.00  32.820  130.796   15.830  215.598   71.242  -115.000  2.374e+17    1.283  -7.171  -4.004  2.35  2.02     1    140   2225 
  3.742   8.00  32.823  130.790   17.745  215.906   71.242  177.698  1.554e+17    0.842  -7.173  -6.005  2.35  2.02     1    141   2241 
  4.299   8.00  32.827  130.784   19.660  216.205   71.242  155.000  1.243e+17    0.675  -7.174  -8.004  2.34  2.02     1    142   2257 
  4.923   8.00  32.830  130.779   21.576  216.490   71.241  155.000  1.313e+17    0.672  -7.173 -10.002  2.34  2.02     1    143   2273 
  5.592   8.00  32.834  130.773   23.491  216.490   71.241  155.000  1.034e+17    0.530  -7.171 -11.999  2.34  2.02     1    144   2289 
  4.944   8.00  32.775  130.820    1.050  220.703   72.518  176.554  2.722e+17    2.001  -4.751  11.411  2.31  2.35     1    145   2305 
  4.075   8.00  32.779  130.815    3.294  219.252   71.706  -140.320  3.069e+17    1.813  -4.759   9.007  2.32  2.48     1    146   2321 
  3.225   8.00  32.783  130.808    5.756  217.653   72.613  155.000  2.475e+17    1.412  -4.767   6.503  2.33  2.55     1    147   2337 
  2.521   8.00  32.788  130.802    8.170  216.087   74.385  155.000  1.325e+17    0.855  -4.776   4.114  2.35  2.25     1    148   2353 
  2.074   8.00  32.791  130.797   10.085  214.853   72.492  -163.602  1.576e+17    1.027  -4.784   1.996  2.36  2.01     1    149   2369 
  1.917   8.00  32.795  130.792   12.000  213.630   71.591  -115.000  1.406e+17    0.906  -4.793   0.000  2.37  2.02     1    150   2385 
  2.080   8.00  32.798  130.787   13.915  212.625   70.955  -149.933  1.575e+17    1.010  -4.801  -1.996  2.38  2.03     1    151   2401 
  2.499   8.00  32.802  130.781   15.830  211.777   71.042  -116.288  2.637e+17    1.412  -4.807  -3.990  2.37  2.02     1    152   2417 
  3.071   8.00  32.806  130.776   17.745  210.927   71.145  -172.230  2.831e+17    1.522  -4.811  -5.983  2.36  2.02     1    153   2433 
  3.726   8.00  32.810  130.770   19.660  210.069   71.263  161.504  4.685e+17    2.528  -4.814  -7.975  2.36  2.02     1    154   2449 
  4.427   8.00  32.813  130.764   21.576  209.198   71.397  158.232  6.097e+17    3.116  -4.817  -9.965  2.35  2.02     1    155   2465 
  5.155   8.00  32.817  130.759   23.491  209.198   71.397  155.000  2.788e+17    1.432  -4.818 -11.954  2.33  2.02     1    156   2481 
  4.651   8.00  32.758  130.805    1.050  213.084   73.521  164.401  2.653e+17    1.920  -2.393  11.380  2.36  2.34     1    157   2497 
  3.718   8.00  32.762  130.800    3.294  212.395   72.811  155.000  2.126e+17    1.241  -2.397   8.981  2.37  2.46     1    158   2513 
  2.766   8.00  32.766  130.794    5.756  211.636   73.704  155.000  7.133e+17    4.029  -2.400   6.484  2.37  2.54     1    159   2529 
  1.901   8.00  32.770  130.788    8.170  210.888   75.402  155.000  2.854e+17    1.826  -2.404   4.100  2.38  2.24     1    160   2545 
  1.249   8.00  32.773  130.783   10.085  210.290   73.630  155.000  1.237e+17    0.802  -2.407   1.988  2.38  2.00     1    161   2561 
  0.964   8.00  32.777  130.778   12.000  209.689   73.533    0.000  0.000e+00    0.000  -2.411   0.000  2.39  2.00     1    162   2577 
  1.250   8.00  32.780  130.774   13.915  208.050   73.587  155.000  1.562e+17    1.005  -2.415  -1.982  2.40  2.00     1    163   2593 
  1.857   8.00  32.783  130.769   15.830  205.649   73.843  -140.189  2.286e+17    1.223  -2.420  -3.962  2.41  1.99     1    164   2609 
  2.566   8.00  32.787  130.764   17.745  203.266   74.144  -176.750  6.186e+17    3.307  -2.424  -5.939  2.42  1.99     1    165   2625 
  3.311   8.00  32.790  130.759   19.660  200.901   74.486  173.078  9.877e+17    5.281  -2.427  -7.915  2.42  1.99     1    166   2641 
  4.073   8.00  32.793  130.754   21.576  198.552   74.866  163.281  1.136e+18    5.730  -2.430  -9.889  2.42  1.98     1    167   2657 
  4.843   8.00  32.797  130.750   23.491  198.552   74.866  156.129  4.333e+17    2.185  -2.432 -11.862  2.42  1.98     1    168   2673 
  4.542   8.00  32.739  130.793    1.050  210.611   74.010  179.314  2.533e+17    1.818   0.000  11.355  2.39  2.33     1    169   2689 
  3.584   8.00  32.743  130.788    3.294  209.143   73.422    0.000  0.000e+00    0.000   0.000   8.960  2.40  2.46     1    170   2705 
  2.587   8.00  32.747  130.782    5.756  207.542   74.419  170.569  1.370e+17    0.765   0.000   6.467  2.41  2.53     1    171   2721 
  1.635   8.00  32.751  130.776    8.170  205.986   76.143  174.254  4.497e+17    2.839   0.000   4.087  2.42  2.23     1    172   2737 
  0.792   8.00  32.754  130.771   10.085  204.764   74.593  155.000  4.991e+17    3.201   0.000   1.980  2.42  1.99     1    173   2753 
  0.000   8.00  32.757  130.767   12.000  203.555   76.124  155.893  6.830e+17    4.399   0.000   0.000  2.43  1.97     1    174   2769 
  0.787   8.00  32.760  130.763   13.915  202.143   77.266  155.000  5.286e+17    3.409   0.000  -1.968  2.44  1.96     1    175   2785 
  1.572   8.00  32.763  130.759   15.830  200.579   77.323  -173.764  4.207e+17    2.251   0.000  -3.931  2.45  1.96     1    176   2801 
  2.358   8.00  32.766  130.755   17.745  199.028   77.377  -178.476  6.525e+17    3.480   0.000  -5.894  2.46  1.96     1    177   2817 
  3.143   8.00  32.769  130.752   19.660  197.490   77.426  178.111  7.790e+17    4.144   0.000  -7.856  2.46  1.96     1    178   2833 
  3.927   8.00  32.772  130.748   21.576  195.965   77.464  165.905  9.809e+17    4.908   0.000  -9.818  2.47  1.96     1    179   2849 
  4.712   8.00  32.775  130.744   23.491  195.965   77.464  159.768  3.145e+17    1.571   0.000 -11.780  2.47  1.96     1    180   2865 
  4.621   8.00  32.721  130.779    1.050  213.674   76.359  -179.596  1.892e+17    1.383   2.413  11.298  2.37  2.31     1    181   2881 
  3.696   8.00  32.724  130.775    3.294  210.835   75.890    0.000  0.000e+00    0.000   2.419   8.917  2.39  2.43     1    182   2897 
  2.752   8.00  32.728  130.770    5.756  207.761   76.800    0.000  0.000e+00    0.000   2.426   6.438  2.41  2.50     1    183   2913 
  1.896   8.00  32.731  130.765    8.170  204.794   78.320  155.000  2.904e+17    1.841   2.431   4.069  2.43  2.21     1    184   2929 
  1.254   8.00  32.734  130.762   10.085  202.473   77.034  155.000  3.799e+17    2.445   2.436   1.972  2.44  1.97     1    185   2945 
  0.976   8.00  32.737  130.758   12.000  200.185   77.421  160.649  5.164e+17    3.312   2.441   0.000  2.45  1.96     1    186   2961 
  1.254   8.00  32.739  130.754   13.915  199.488   77.616  159.465  5.350e+17    3.434   2.443  -1.965  2.45  1.96     1    187   2977 
  1.850   8.00  32.742  130.750   15.830  199.974   77.529  -179.890  4.277e+17    2.292   2.444  -3.927  2.44  1.96     1    188   2993 
  2.551   8.00  32.745  130.747   17.745  200.458   77.440  178.379  3.394e+17    1.824   2.445  -5.889  2.44  1.96     1    189   3009 
  3.289   8.00  32.748  130.743   19.660  200.932   77.351  171.221  2.572e+17    1.386   2.445  -7.852  2.43  1.96     1    190   3025 
  4.046   8.00  32.751  130.740   21.576  201.386   77.262  159.676  4.884e+17    2.484   2.445  -9.814  2.43  1.96     1    191   3041 
  4.811   8.00  32.754  130.736   23.491  201.386   77.262  157.825  1.479e+17    0.754   2.446 -11.777  2.42  1.96     1    192   3057 
  4.893   8.00  32.703  130.765    1.050  212.888   79.632  -175.932  1.471e+17    1.085   4.825  11.242  2.38  2.28     1    193   3073 
  4.043   8.00  32.706  130.761    3.294  210.798   79.240    0.000  0.000e+00    0.000   4.839   8.875  2.39  2.40     1    194   3089 
  3.216   8.00  32.709  130.758    5.756  208.540   79.878  -115.000  1.173e+17    0.670   4.853   6.411  2.40  2.48     1    195   3105 
  2.533   8.00  32.711  130.754    8.170  206.350   80.988  155.000  3.519e+16    0.226   4.865   4.054  2.42  2.19     1    196   3121 
